SEGMENT_ID,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,STREET_ID,PRE_DIR,ST_NAME,ST_TYPE,SUF_DIR,ALTERNATE_NAME,CFCC,SPEEDLIMIT,ONEWAY,F_ZLEV,T_ZLEV,FT_COST,TF_COST,FT_DIR,TF_DIR,SHIELD,HWY_NUM,MUN_L,MUN_R,NBHD_L,NBHD_R,STATE00_L,STATE00_R,COUNTY00_L,COUNTY00_R,MCD00_L,MCD00_R,Shape_Length,shape_wkt,coordinates,segment_length_m,traffic_weight
29,1.0,17.0,2.0,18.0,15,,Acorn,ST,,,A41,15,,0,0,0.183,0.183,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000932240826756,"MULTILINESTRING ((-71.068393583999978 42.357705811000073, -71.069307097999967 42.357519894000063))","[(-71.06839358399998, 42.35770581100007), (-71.06930709799997, 42.35751989400006)]",103.47873176988911,0.09210526315789473
66,39.0,1.0,48.0,2.0,163,,Arch,ST,,,A41,20,FT,0,0,0.17422155,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000844964869904,"MULTILINESTRING ((-71.057802168999956 42.355897007000067, -71.057760990999952 42.35603199500008, -71.057796568999947 42.356532929000025, -71.057811812999944 42.356733992000045))","[(-71.05780216899996, 42.35589700700007), (-71.05776099099995, 42.35603199500008), (-71.05779656899995, 42.356532929000025), (-71.05781181299994, 42.356733992000045)]",93.79110055937778,0.0
67,79.0,41.0,78.0,50.0,163,,Arch,ST,,,A41,20,FT,0,0,0.1042392,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000533521301789,"MULTILINESTRING ((-71.058035222999933 42.355438267000068, -71.057931812999982 42.355511274000037, -71.057802168999956 42.355897007000067))","[(-71.05803522299993, 42.35543826700007), (-71.05793181299998, 42.35551127400004), (-71.05780216899996, 42.35589700700007)]",59.22086449855601,0.2857142857142857
68,89.0,81.0,88.0,80.0,163,,Arch,ST,,,A41,20,FT,0,0,0.10028683,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000550511852192,"MULTILINESTRING ((-71.058424634999938 42.355050338000069, -71.058148255999981 42.355344716000047, -71.058035222999933 42.355438267000068))","[(-71.05842463499994, 42.35505033800007), (-71.05814825599998, 42.35534471600005), (-71.05803522299993, 42.35543826700007)]",61.10681559330333,0.2830188679245283
146,340.0,360.0,367.0,371.0,51,,Albany,ST,,,A31,25,FT,0,0,0.03534023,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000223200053017,"MULTILINESTRING ((-71.062804669999935 42.342352066000046, -71.062814284999945 42.342332208000073, -71.062902472999951 42.342151435000062))","[(-71.06280466999993, 42.342352066000046), (-71.06281428499994, 42.34233220800007), (-71.06290247299995, 42.34215143500006)]",24.775205884850827,0.125
147,492.0,502.0,503.0,527.0,51,,Albany,ST,,,A31,25,,0,0,0.162,0.162,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.001195026859755,"MULTILINESTRING ((-71.065519329999972 42.339175769000065, -71.066493156999968 42.338483129000053))","[(-71.06551932999997, 42.339175769000065), (-71.06649315699997, 42.33848312900005)]",132.6479814328122,0.16071428571428573
148,540.0,580.0,541.0,581.0,51,,Albany,ST,,,A31,25,,0,0,0.09872737,0.09872737,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000711766779567,"MULTILINESTRING ((-71.06707972199996 42.338065492000055, -71.067660000999979 42.337653317000047))","[(-71.06707972199996, 42.338065492000055), (-71.06766000099998, 42.33765331700005)]",79.00611253189322,0.10294117647058823
149,582.0,592.0,583.0,597.0,51,,Albany,ST,,,A31,25,,0,0,0.11564548,0.11564548,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000833894179454,"MULTILINESTRING ((-71.067660000999979 42.337653317000047, -71.067700189999982 42.33762465500007, -71.068340152999951 42.337170852000042))","[(-71.06766000099998, 42.33765331700005), (-71.06770018999998, 42.33762465500007), (-71.06834015299995, 42.33717085200004)]",92.56225391937917,0.13157894736842105
151,2.0,2.0,1.0,3.0,52,,Albemarle,ST,,,A41,15,,0,0,0.08927709,0.08927709,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000390252249769,"MULTILINESTRING ((-71.083467676999987 42.342688098000053, -71.083141891999958 42.342473247000044))","[(-71.08346767699999, 42.34268809800005), (-71.08314189199996, 42.342473247000044)]",43.31799972431238,0.2571428571428571
257,25.0,23.0,28.0,24.0,125,,Anderson,ST,,,A41,20,FT,0,0,0.04100826,-1.0,,,,,BOSTON,BOSTON,BOSTON,BOSTON,MA,MA,25025,25025,7000,7000,0.000198442708641,"MULTILINESTRING ((-71.067788698999948 42.360305623000045, -71.06780121099996 42.360437386000058, -71.067807276999986 42.360503194000046))","[(-71.06778869899995, 42.360305623000045), (-71.06780121099996, 42.36043738600006), (-71.06780727699999, 42.360503194000046)]",22.027140659104028,0.22727272727272727
